currentId,title,overview,genres,runtime,releaseDate,posterPath
21,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Family, Animation, Adventure",78.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
44,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","Comedy, Thriller, Crime",105.0,1995-10-20,https://flixpatrol.com/runtime/cache/files/posters/g/w350/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg
39,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","Action, Comedy, Crime",103.0,1995-11-21,https://flixpatrol.com/runtime/cache/files/posters/g/w350/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg
21,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Family, Animation, Adventure",78.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
32,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"Drama, Crime",178.0,1995-11-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/xo517ibXBDdYQY81j0WIG7BVcWq.jpg
21,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Family, Animation, Adventure",78.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
21,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Family, Animation, Adventure",78.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
21,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Family, Animation, Adventure",78.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
34,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Crime, Comedy",98.0,1995-12-09,https://flixpatrol.com/runtime/cache/files/posters/g/w350/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg
185,Two If by Sea,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.","Comedy, Romance",96.0,1996-01-12,https://flixpatrol.com/runtime/cache/files/posters/g/w350/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg
3527,Joe's Apartment,"A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches.","Fantasy, Comedy, Music",78.0,1996-07-26,https://flixpatrol.com/runtime/cache/files/posters/g/w350/iLwLJYlhvAPS5g6WU7nqST8Uxc9.jpg
21,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Family, Animation, Adventure",78.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
21,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Family, Animation, Adventure",78.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
16,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"Adventure, Action, Thriller",130.0,1995-11-16,https://flixpatrol.com/runtime/cache/files/posters/g/w350/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg
21,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Family, Animation, Adventure",78.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
10,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Comedy,106.0,1995-02-10,https://flixpatrol.com/runtime/cache/files/posters/g/w350/e64sOI48hQXyru7naBFyssKFxVd.jpg
